程序,架构,版本,映射,穿梭次数,执行时间 (μs),保真度
programs\BV32,G2x2,V2,SABRE2,3,1871,0.8268739843750299
programs\BV32,G2x2,V6,SABRE2,3,1871,0.8268739843750299
programs\BV32,G2x3,V2,SABRE2,13,3831,0.8777875012968096
programs\BV32,G2x3,V6,SABRE2,13,3831,0.8777875012968096
programs\GHZ32,G2x2,V2,SABRE2,2,1696,0.8439590376601769
programs\GHZ32,G2x2,V6,SABRE2,2,1696,0.8439590376601769
programs\GHZ32,G2x3,V2,SABRE2,12,3816,0.8767967625053765
programs\GHZ32,G2x3,V6,SABRE2,12,3816,0.8767967625053765
programs\ADDER32,G2x2,V2,SABRE2,5,3636,0.2853571170236835
programs\ADDER32,G2x2,V6,SABRE2,71,22718,0.20254106639178948
programs\ADDER32,G2x3,V2,SABRE2,8,3640,0.5163680559807656
programs\ADDER32,G2x3,V6,SABRE2,97,27850,0.3709796196556576
programs\QAOA32,G2x2,V2,SABRE2,4,1509,0.5186656193949647
programs\QAOA32,G2x2,V6,SABRE2,12,3437,0.49584652800324724
programs\QAOA32,G2x3,V2,SABRE2,7,2207,0.7072600739012795
programs\QAOA32,G2x3,V6,SABRE2,21,5771,0.6572436263793641
programs\qft32_swap,G2x2,V2,SABRE2,59,37305,0.004959484729549555
programs\qft32_swap,G2x2,V6,SABRE2,173,50320,0.002165230926141844
programs\qft32_swap,G2x3,V2,SABRE2,102,47038,0.05065090881942208
programs\qft32_swap,G2x3,V6,SABRE2,254,71588,0.027491311806498876
programs\SQRT30,G2x2,V2,SABRE2,18,11714,0.16094357598721815
programs\SQRT30,G2x2,V6,SABRE2,148,45756,0.09333142643632665
programs\SQRT30,G2x3,V2,SABRE2,45,13954,0.3960187508241154
programs\SQRT30,G2x3,V6,SABRE2,187,54402,0.17728109674984885
