suite,benchmark,machine,version,mapper,scale,trap_capacity,lookahead_k,swap_threshold,num_optical_zones,max_qubits_per_qccd,enable_swap_insert,num_modules,total_shuttle,logical_shuttle_count,physical_shuttle_leg_count,execution_time_us,fidelity,remote_2q_count,fiber_gate_count,regular_fiber_gate_count,swap_insert_gate_count,swap_insert_logical_count,local_2q_count,operation_local_2q_count,optical_local_2q_count,local_2q_time,operation_local_2q_time,optical_local_2q_time,fiber_gate_time,swap_insert_time,shuttle_time_total,gate_mult,swap_insert_gate_mult,shuttle_mult,compile_time_s,log_path
multi_zone,programs\BV128,EML,V7,SABRELarge,LARGE,16,8,4,1,32,1,4,15,15,15,10694.0,0.23012031026656377,13,13,4,9,3,123,60,63,4920.0,2400.0,2520.0,2600.0,1800.0,3164.0,0.24844172669609052,0.9135172474836407,0.9262546727831309,0.096532,output_large\logs\multi_zone__BV128__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log
multi_zone,programs\BV128,EML2Z,V7,SABRELarge,LARGE,16,8,4,2,32,1,4,12,12,12,9810.0,0.24485282994529856,13,13,4,9,3,123,4,119,4920.0,160.0,4760.0,2600.0,1800.0,2280.0,0.25847128701476263,0.9135172474836407,0.9473115283838613,0.100506,output_large\logs\multi_zone__BV128__EML2Z__cap16__k8__T4__oz2__SABRE__MUSSV7.log
multi_zone,programs\GHZ128,EML,V7,SABRELarge,LARGE,16,8,4,1,32,1,4,53,53,53,16884.0,0.21598423305934045,6,6,6,0,0,121,57,64,4840.0,2280.0,2560.0,1200.0,0.0,10844.0,0.27901418437620024,1.0,0.7740976808839382,0.022697,output_large\logs\multi_zone__GHZ128__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log
multi_zone,programs\GHZ128,EML2Z,V7,SABRELarge,LARGE,16,8,4,2,32,1,4,13,13,13,8734.0,0.27240082243995967,6,6,6,0,0,121,4,117,4840.0,160.0,4680.0,1200.0,0.0,2694.0,0.29027795085045827,1.0,0.938413757027972,0.012588,output_large\logs\multi_zone__GHZ128__EML2Z__cap16__k8__T4__oz2__SABRE__MUSSV7.log
multi_zone,programs\GHZ256,EML,V7,SABRELarge,LARGE,16,8,4,1,32,1,8,77,77,77,28580.0,0.05255230295844897,15,15,15,0,0,240,112,128,9600.0,4480.0,5120.0,3000.0,0.0,15980.0,0.07707813374565965,1.0,0.6818055965373979,0.050108,output_large\logs\multi_zone__GHZ256__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log
multi_zone,programs\GHZ256,EML2Z,V7,SABRELarge,LARGE,16,8,4,2,32,1,8,25,25,25,17814.0,0.07371830015365555,15,15,15,0,0,240,8,232,9600.0,320.0,9280.0,3000.0,0.0,5214.0,0.08342701856429814,1.0,0.8836262091379902,0.037223,output_large\logs\multi_zone__GHZ256__EML2Z__cap16__k8__T4__oz2__SABRE__MUSSV7.log
multi_zone,programs\SQRT117,EML,V7,SABRELarge,LARGE,16,8,4,1,32,1,4,274,274,274,271584.0,1.7658368526401794e-08,911,911,911,0,0,688,66,622,27520.0,2640.0,24880.0,182200.0,0.0,61854.0,8.496375923038894e-08,1.0,0.20783412464741538,8.029292,output_large\logs\multi_zone__SQRT117__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log
multi_zone,programs\SQRT117,EML2Z,V7,SABRELarge,LARGE,16,8,4,2,32,1,4,112,112,112,234218.0,6.46991812641139e-08,911,911,911,0,0,688,6,682,27520.0,240.0,27280.0,182200.0,0.0,24488.0,1.1937607565359448e-07,1.0,0.5419777866702368,7.400113,output_large\logs\multi_zone__SQRT117__EML2Z__cap16__k8__T4__oz2__SABRE__MUSSV7.log
multi_zone,programs\SQRT299,EML,V7,SABRELarge,LARGE,16,8,4,1,32,1,10,590,590,590,774716.0,1.4987971726943887e-21,2912,2912,2912,0,0,1464,93,1371,58560.0,3720.0,54840.0,582400.0,0.0,133746.0,4.44891833410126e-20,1.0,0.03368902416585175,71.058841,output_large\logs\multi_zone__SQRT299__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log
multi_zone,programs\SQRT299,EML2Z,V7,SABRELarge,LARGE,16,8,4,2,32,1,10,288,288,288,701768.0,2.462691735548282e-20,2912,2912,2912,0,0,1464,51,1413,58560.0,2040.0,56520.0,582400.0,0.0,60798.0,1.0707973869224452e-19,1.0,0.22998671509894314,62.975600,output_large\logs\multi_zone__SQRT299__EML2Z__cap16__k8__T4__oz2__SABRE__MUSSV7.log
